面積(km),世帯数,人口,小学校,中学校,高校
18.18,87371,166070,16,13,9 
7.71,43459,80568,10,8,8 
17.53,78284,163712,19,7,2 
17.93,72629,149830,17,7,4 
16.30,69944,135075,15,8,4 
9.38,59140,88856,11,4,2 
10.94,57244,109596,13,8,6 
11.22,50359,107197,11,7,7 
8.20,32811,66162,7,4,1 
32.02,99199,220660,24,11,3 
45.64,62823,144198,20,8,2 
18.46,63102,136451,18,7,4 
34.01,72790,175471,21,8,3 
37.91,99910,246273,28,12,2 
19.45,76148,165589,19,8,3 
21.58,77322,164653,17,7,3 
